"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2021","15,900","15,900","15,900","15,900","1.50K","0.00%"
"04/12/2021","15,900","15,900","15,900","15,900","0.20K","2.58%"
"04/09/2021","15,500","15,500","15,500","15,500","0.20K","-3.13%"
"04/08/2021","16,000","16,000","16,000","16,000","0.10K","-5.88%"
"04/07/2021","17,000","17,000","17,000","17,000","0.60K","1.19%"
"04/06/2021","16,800","16,900","16,900","16,300","17.53K","10.53%"
"04/05/2021","15,200","15,000","15,200","15,000","6.20K","1.33%"
"04/02/2021","15,000","15,500","15,700","15,000","8.10K","-2.60%"
"04/01/2021","15,400","18,000","18,000","15,400","2.10K","-0.65%"
"03/31/2021","15,500","16,900","16,900","15,500","9.40K","-8.28%"
"03/30/2021","16,900","16,900","16,900","16,900","0.10K","7.64%"
"03/29/2021","15,700","15,000","17,200","15,000","0.90K","4.67%"
"03/26/2021","15,000","14,500","15,000","14,500","3.20K","3.45%"
"03/25/2021","14,500","14,500","14,500","14,500","0.10K","3.57%"
"03/24/2021","14,000","14,000","14,000","14,000","1.10K","-1.41%"
"03/23/2021","14,200","14,300","14,300","14,200","3.90K","-2.07%"
"03/22/2021","14,500","16,500","16,500","14,500","1.51K","0.00%"
"03/19/2021","14,500","14,500","14,500","14,500","0.10K","-6.45%"
"03/17/2021","15,500","15,000","15,500","15,000","8.10K","6.90%"
"03/16/2021","14,500","14,100","14,500","14,000","8.70K","3.57%"
"03/15/2021","14,000","13,900","14,000","13,900","1.20K","0.00%"
"03/11/2021","14,000","13,900","14,100","13,900","1.40K","0.00%"
"03/10/2021","14,000","14,000","14,000","13,900","1.20K","0.72%"
"03/09/2021","13,900","13,900","13,900","13,900","0.20K","-4.14%"
"03/08/2021","14,500","13,800","14,500","13,800","0.70K","4.32%"
"03/04/2021","13,900","14,000","14,100","13,800","10.80K","0.00%"
"03/02/2021","13,900","14,000","14,000","13,900","0.90K","-0.71%"
"03/01/2021","14,000","14,000","14,000","14,000","2.90K","0.00%"
"02/25/2021","14,000","14,000","14,000","14,000","1.10K","-1.41%"
"02/24/2021","14,200","14,100","14,200","14,000","0.30K","1.43%"
"02/23/2021","14,000","14,200","14,200","14,000","2.70K","-1.41%"
"02/18/2021","14,200","14,000","14,200","14,000","4.10K","2.90%"
"02/17/2021","13,800","13,800","13,900","13,800","0.40K","3.76%"
"02/09/2021","13,300","13,300","13,300","13,300","1.00K","1.53%"
"02/03/2021","13,100","13,200","13,200","13,100","1.50K","0.77%"
"02/02/2021","13,000","13,000","13,000","13,000","0.20K","-2.99%"
"02/01/2021","13,400","13,500","13,500","13,400","1.10K","0.75%"
"01/29/2021","13,300","13,400","13,400","13,300","0.20K","0.76%"
"01/28/2021","13,200","13,400","13,500","13,200","3.00K","-5.04%"
"01/27/2021","13,900","13,700","13,900","13,100","2.60K","0.00%"
"01/25/2021","13,900","13,800","13,900","13,800","0.20K","0.72%"
"01/22/2021","13,800","13,800","13,800","13,800","3.20K","-5.48%"
"01/21/2021","14,600","14,600","14,600","14,600","0.20K","7.35%"
"01/20/2021","13,600","13,700","13,800","13,600","1.10K","-6.21%"
"01/19/2021","14,500","13,700","14,500","13,700","1.20K","3.57%"
"01/18/2021","14,000","14,000","14,000","14,000","0.20K","1.45%"
"01/15/2021","13,800","13,800","13,800","13,800","0.50K","0.00%"
"01/14/2021","13,800","13,800","13,800","13,800","0.50K","0.00%"
"01/13/2021","13,800","13,700","13,800","13,700","0.20K","1.47%"
"01/11/2021","13,600","13,000","13,600","13,000","1.20K","0.00%"
"01/08/2021","13,600","13,700","13,700","13,600","5.60K","0.74%"
"01/07/2021","13,500","14,100","14,100","13,500","1.70K","-1.46%"
"01/06/2021","13,700","13,800","13,800","13,700","1.10K","-2.84%"
"01/04/2021","14,100","14,100","14,100","14,100","1.30K","0.00%"
"12/31/2020","14,100","14,100","14,100","14,100","0.10K","0.71%"
"12/30/2020","14,000","14,500","14,500","14,000","4.80K","-3.45%"
"12/28/2020","14,500","14,500","14,500","14,500","0.30K","4.32%"
"12/21/2020","13,900","13,900","13,900","13,900","0.50K","0.00%"
"12/18/2020","13,900","14,100","14,100","13,900","2.80K","-2.80%"
"12/17/2020","14,300","14,300","14,300","14,300","0.10K","-2.72%"
"12/10/2020","14,700","14,700","14,700","14,700","10.00K","0.00%"
"12/07/2020","14,700","14,700","14,700","14,700","0.10K","2.80%"
"12/04/2020","14,300","14,300","14,300","14,300","0.10K","2.88%"
"12/03/2020","13,900","13,700","13,900","13,700","2.90K","0.72%"
"12/02/2020","13,800","13,500","13,800","13,500","0.40K","4.55%"
"12/01/2020","13,200","13,200","13,200","13,200","1.00K","-5.71%"
"11/27/2020","14,000","14,000","14,000","14,000","0.10K","5.26%"
"11/26/2020","13,300","13,300","13,300","13,300","0.20K","1.53%"
"11/24/2020","13,100","13,100","13,100","13,100","0.10K","-0.76%"
"11/20/2020","13,200","13,000","13,200","13,000","1.00K","1.54%"
"11/19/2020","13,000","13,000","13,000","13,000","0.20K","-8.45%"
"11/18/2020","14,200","14,200","14,200","14,200","0.20K","-1.39%"
"11/17/2020","14,400","14,400","14,400","14,400","0.10K","-3.36%"
"11/11/2020","14,900","13,600","14,900","13,600","0.50K","-5.70%"
"11/09/2020","15,800","15,800","15,800","15,800","1.00K","13.67%"
"11/06/2020","13,900","13,900","13,900","13,900","2.00K","5.30%"
"11/02/2020","13,200","13,100","13,300","13,100","7.90K","0.76%"
"10/23/2020","13,100","13,100","13,100","13,100","0.10K","0.00%"
"10/16/2020","13,100","13,100","13,100","13,100","7.00K","-2.24%"
"10/02/2020","13,400","12,900","13,400","12,700","5.11K","4.69%"
"10/01/2020","12,800","12,800","12,800","12,800","0.50K","0.00%"
"09/30/2020","12,800","12,500","12,800","12,500","2.10K","3.23%"
"09/29/2020","12,400","12,400","12,400","12,400","0.13K","-6.06%"
