Date,Price,Open,High,Low,Vol.,Change %
09/03/2015,"19,195","19,669","19,669","19,036",2.03M,-2.41%
10/03/2015,"19,405","19,036","19,511","19,036",1.03M,1.09%
11/03/2015,"19,247","19,405","19,458","19,195",993.42K,-0.81%
12/03/2015,"19,405","19,195","19,458","19,195",651.40K,0.82%
13/03/2015,"19,353","19,511","19,722","19,353",857.89K,-0.27%
16/03/2015,"18,614","18,456","19,142","18,456",3.56M,-3.82%
17/03/2015,"18,825","18,720","19,036","18,720",1.03M,1.13%
18/03/2015,"18,878","18,773","18,931","18,614",525.46K,0.28%
19/03/2015,"18,720","18,773","18,773","18,614",1.76M,-0.84%
20/03/2015,"18,984","18,614","19,195","18,614",6.99M,1.41%
23/03/2015,"18,562","18,984","19,089","18,509",1.70M,-2.22%
24/03/2015,"18,614","18,456","18,667","18,193",2.82M,0.28%
25/03/2015,"18,667","18,509","18,720","18,456",1.14M,0.28%
26/03/2015,"18,456","18,404","18,825","18,404",2.31M,-1.13%
27/03/2015,"18,614","18,456","18,773","18,404",2.50M,0.86%
30/03/2015,"18,509","18,509","18,720","18,509",1.14M,-0.56%
31/03/2015,"18,509","18,509","18,773","18,456",1.17M,0.00%
01/04/2015,"18,456","18,509","18,614","18,351",1.52M,-0.29%
02/04/2015,"18,825","18,456","18,878","18,404",927.65K,2.00%
03/04/2015,"18,825","18,825","18,878","18,720",749.71K,0.00%
06/04/2015,"18,720","18,720","18,825","18,720",596.23K,-0.56%
07/04/2015,"18,878","18,720","18,931","18,509",1.20M,0.84%
08/04/2015,"18,720","18,825","18,878","18,667",1.79M,-0.84%
09/04/2015,"18,878","18,667","19,089","18,667",916.92K,0.84%
10/04/2015,"18,984","18,878","19,195","18,878",975.42K,0.56%
13/04/2015,"19,195","19,089","19,195","18,984",1.15M,1.11%
14/04/2015,"19,195","19,300","19,353","19,142",1.88M,0.00%
15/04/2015,"19,300","19,142","19,353","19,142",1.18M,0.55%
16/04/2015,"19,669","19,300","19,827","19,247",1.78M,1.91%
17/04/2015,"19,722","19,669","19,880","19,669",1.58M,0.27%
20/04/2015,"19,669","19,775","19,775","19,458",907.03K,-0.27%
21/04/2015,"19,353","19,564","19,669","19,300",1.18M,-1.61%
22/04/2015,"19,511","19,353","19,564","19,353",1.15M,0.82%
23/04/2015,"19,511","19,511","19,564","19,353",703.87K,0.00%
24/04/2015,"19,616","19,616","19,669","19,511",318.87K,0.54%
27/04/2015,"19,089","19,564","19,669","19,089",346.38K,-2.69%
04/05/2015,"18,773","19,089","19,353","18,720",880.66K,-1.66%
05/05/2015,"19,616","18,773","19,616","18,720",816.18K,4.49%
06/05/2015,"19,564","19,511","19,722","19,353",740.32K,-0.27%
07/05/2015,"19,827","19,564","19,880","19,458",1.18M,1.34%
08/05/2015,"20,407","19,827","20,618","19,669",1.78M,2.93%
11/05/2015,"20,513","20,407","20,671","20,355",539.04K,0.52%
12/05/2015,"20,355","20,618","20,618","20,196",745.85K,-0.77%
13/05/2015,"20,091","20,355","20,355","19,775",627.11K,-1.30%
14/05/2015,"20,196","19,933","20,302","19,933",106.63K,0.52%
15/05/2015,"20,249","20,196","20,513","19,985",802.28K,0.26%
18/05/2015,"20,355","19,985","20,407","19,880",958.90K,0.52%
19/05/2015,"20,618","20,196","20,829","20,091",604.41K,1.29%
20/05/2015,"20,882","20,618","20,935","20,566",831.58K,1.28%
21/05/2015,"21,093","21,093","21,357","20,935",1.18M,1.01%
22/05/2015,"22,253","21,251","22,306","21,093",2.21M,5.50%
25/05/2015,"22,148","22,042","22,358","21,937",1.18M,-0.47%
26/05/2015,"22,675","22,148","22,991","22,095",1.75M,2.38%
27/05/2015,"22,622","22,253","22,991","22,253",1.31M,-0.23%
28/05/2015,"22,728","22,464","23,308","22,411",1.81M,0.47%
29/05/2015,"22,833","22,569","23,202","22,517",1.86M,0.46%
01/06/2015,"24,099","22,833","24,257","22,833",2.08M,5.54%
02/06/2015,"24,204","24,204","25,417","24,151",3.62M,0.44%
03/06/2015,"23,466","24,257","24,520","23,202",1.15M,-3.05%
04/06/2015,"23,466","23,360","23,993","23,149",694.22K,0.00%
05/06/2015,"23,782","23,202","24,099","23,044",1.04M,1.35%
08/06/2015,"23,888","23,782","24,204","23,519",780.17K,0.45%
09/06/2015,"23,308","23,729","23,888","23,149",1.19M,-2.43%
10/06/2015,"22,833","23,413","23,413","22,569",1.09M,-2.04%
11/06/2015,"23,044","22,991","23,519","22,622",1.39M,0.92%
12/06/2015,"22,991","22,991","23,202","22,938",443.16K,-0.23%
15/06/2015,"23,888","22,991","23,888","22,991",782.22K,3.90%
16/06/2015,"23,466","23,888","23,993","23,466",621.77K,-1.77%
17/06/2015,"23,413","23,202","23,782","23,149",469.44K,-0.23%
18/06/2015,"23,677","23,360","23,940","23,360",797.01K,1.13%
19/06/2015,"24,520","23,624","24,520","23,571",3.10M,3.56%
22/06/2015,"25,101","24,573","25,101","24,573",1.06M,2.37%
23/06/2015,"25,101","25,048","25,153","24,784",689.45K,0.00%
24/06/2015,"24,731","25,101","25,153","24,731",866.92K,-1.47%
25/06/2015,"24,731","24,731","24,995","24,520",857.67K,0.00%
26/06/2015,"24,085","25,162","25,270","24,085",1.19M,-2.61%
29/06/2015,"25,324","23,815","25,432","23,762",1.38M,5.14%
30/06/2015,"26,294","25,109","26,348","25,109",2.18M,3.83%
01/07/2015,"26,132","26,294","26,348","25,486",936.25K,-0.62%
02/07/2015,"27,749","26,078","27,749","26,025",1.68M,6.19%
03/07/2015,"29,365","27,749","29,635","27,749",1.35M,5.82%
06/07/2015,"29,365","29,365","29,904","28,557",2.12M,0.00%
07/07/2015,"29,096","29,096","30,173","28,826",1.73M,-0.92%
08/07/2015,"28,018","29,096","29,365","27,210",2.85M,-3.70%
09/07/2015,"28,288","27,749","29,365","27,210",1.86M,0.96%
10/07/2015,"28,288","29,096","29,096","28,288",800.80K,0.00%
13/07/2015,"28,288","28,557","28,826","28,018",904.76K,0.00%
14/07/2015,"28,288","28,288","28,557","26,941",886.67K,0.00%
15/07/2015,"27,479","28,288","28,288","27,479",690.19K,-2.86%
16/07/2015,"27,479","27,479","28,018","26,941",647.34K,0.00%
17/07/2015,"27,479","27,749","28,018","27,479",591.40K,0.00%
20/07/2015,"26,617","27,479","27,479","26,563",734.64K,-3.14%
21/07/2015,"26,509","26,617","27,210","26,348",1.04M,-0.41%
22/07/2015,"28,018","26,509","28,288","26,402",1.90M,5.69%
23/07/2015,"27,749","28,288","28,557","27,749",687.63K,-0.96%
24/07/2015,"27,210","27,749","28,018","27,210",609.61K,-1.94%
